Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Marital status_encoded,Application mode_encoded,Target_encoded,Application order_encoded,Previous qualification_encoded,Nationality_encoded,Mother's qualification_encoded,Father's qualification_encoded,Mother's occupation_encoded,Father's occupation_encoded,Course_encoded,Curricular units 1st sem (credited)_encoded,Curricular units 1st sem (enrolled)_encoded,Curricular units 1st sem (evaluations)_encoded,Curricular units 1st sem (approved)_encoded,Curricular units 1st sem (without evaluations)_encoded,Curricular units 2nd sem (credited)_encoded,Curricular units 2nd sem (enrolled)_encoded,Curricular units 2nd sem (evaluations)_encoded,Curricular units 2nd sem (approved)_encoded,Curricular units 2nd sem (without evaluations)_encoded,Age at enrollment_encoded,Previous qualification (grade)_encoded,Admission grade_encoded,Unemployment rate_encoded,Inflation rate_encoded,GDP_encoded,Curricular units 1st sem (grade)_encoded,Curricular units 2nd sem (grade)_encoded,Total curricular units (credited),Total curricular units (enrolled),Total curricular units (evaluations),Total curricular units (approved),Average curricular units grade,Total curricular units (without evaluations),Average curricular units grade_encoded
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,0,7,0,5,0,0,12,9,5,9,1,0,0,0,0,0,0,0,0,0,0,-0.4303628237699172,-0.8048412577874374,0.0222287679793722,-0.2876384574425296,0.1243864731841758,0.7657608350016585,-2.1971065163157584,-1.963483646581465,0,0,0,0,0.0,0,-2.165947385323075
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.67,0,13.9,-0.3,0.79,Graduate,0,5,2,1,0,0,0,2,3,3,10,0,6,6,6,0,0,6,6,6,0,-0.562167955812708,2.076819318341645,1.071926139481738,0.8762220667652447,-1.1052215545807416,0.347199421388147,0.6935928191617966,0.6602009700312793,0,12,12,12,13.835,0,0.7055788448906014
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,0,0,0,5,0,0,21,26,9,9,4,0,6,0,0,0,0,6,0,0,0,-0.562167955812708,-0.8048412577874374,-0.1504188260177273,-0.2876384574425296,0.1243864731841758,0.7657608350016585,-2.1971065163157584,-1.963483646581465,0,12,0,0,0.0,0,-2.165947385323075
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.43,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,0,7,2,2,0,0,22,26,5,3,14,0,6,8,6,0,0,6,10,5,0,-0.4303628237699172,-0.8048412577874374,-0.5095258215316947,-0.8132528877299118,-1.466870974511599,-1.3755112388527264,0.5759000605030675,0.4164497291316316,0,12,18,11,12.915,0,0.5146280583494676
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.33,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,1,11,2,1,0,0,21,27,9,9,2,0,6,9,5,0,0,6,6,6,0,2.8647654772998528,-2.473171065020064,1.002867101882898,0.8762220667652447,-1.1052215545807416,0.347199421388147,0.3487736841441168,0.5316077956983942,0,12,15,11,12.665,0,0.46273925765894214
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.86,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,1,11,2,1,11,0,21,26,9,7,16,0,5,10,5,0,0,5,17,5,5,3.5237911375138067,0.0369069631344782,-0.8410092020061256,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,0.2517287778816559,0.2437126292814874,0,10,27,10,11.68,5,0.25829738293827215
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.34,0,15.5,2.8,-4.06,Graduate,0,0,2,1,0,0,12,27,7,10,11,0,7,9,7,0,0,8,8,8,0,-0.6939730878554988,0.7118222033331321,0.0981937093380966,1.476924272807967,1.1370048489905784,-1.7896667428492534,0.549057852387919,0.7887941443641643,0,15,17,15,13.82,0,0.7024655168491698
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,0,8,0,4,0,0,21,26,9,9,10,0,5,5,0,0,0,5,5,0,0,-0.1667525596843355,-1.0323407769555228,-0.9584095659241536,1.476924272807967,1.1370048489905784,-1.7896667428492534,-2.1971065163157584,-1.963483646581465,0,10,10,0,0.0,0,-2.165947385323075
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.88,0,0,6,7,6,14.14,0,16.2,0.3,-0.92,Graduate,0,0,2,3,0,14,0,0,9,9,9,0,6,8,6,0,0,6,7,6,0,-0.2985576917271264,0.3326563380529896,0.1603468431770528,1.7397314879516577,-0.6712422506637118,-0.4062111231161736,0.6688153962862748,0.7504081221752436,0,12,15,12,14.010000000000002,0,0.7419010053739693
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,0,0,0,1,0,0,0,13,4,7,9,0,6,9,5,0,0,6,14,2,0,-0.6939730878554988,0.4084895111090181,-0.2747250936956388,-1.0009723271182625,0.1243864731841758,1.545606837207885,0.1567486568588221,0.6275728511706965,0,12,23,7,12.45,0,0.4181148890650903
